seed_index,scheme,cycle_index,in_fade,pdu_index,end_to_end_ok,completion_latency_s_ms,delivered_latency_s_ms,fade_penalty_db,fade_duration_cycles,cycle_retransmissions_path_a,cycle_retransmissions_path_b,backup_engaged,cycle_queue_delay_ms
0,Baseline,3,False,14,True,3.0710526315789473,3.0710526315789473,3.0791468550554812,8,1,,False,2.0140350877192983
0,Baseline,3,False,15,True,3.0710526315789473,3.0710526315789473,3.0791468550554812,8,1,,False,2.0140350877192983
0,Baseline,3,False,16,True,3.0710526315789473,3.0710526315789473,3.0791468550554812,8,1,,False,2.0140350877192983
0,Baseline,3,False,17,True,3.0710526315789473,3.0710526315789473,3.0791468550554812,8,1,,False,2.0140350877192983
0,Baseline,3,False,18,True,3.0710526315789473,3.0710526315789473,3.0791468550554812,8,1,,False,2.0140350877192983
0,Baseline,3,False,19,True,3.0710526315789473,3.0710526315789473,3.0791468550554812,8,1,,False,2.0140350877192983
0,Baseline,3,False,20,True,3.0710526315789473,3.0710526315789473,3.0791468550554812,8,1,,False,2.0140350877192983
0,Baseline,3,False,21,True,3.0710526315789473,3.0710526315789473,3.0791468550554812,8,1,,False,2.0140350877192983
0,Baseline,3,False,22,True,3.0710526315789473,3.0710526315789473,3.0791468550554812,8,1,,False,2.0140350877192983
0,Baseline,3,False,23,True,3.0710526315789473,3.0710526315789473,3.0791468550554812,8,1,,False,2.0140350877192983
0,Baseline,3,False,24,True,3.0710526315789473,3.0710526315789473,3.0791468550554812,8,1,,False,2.0140350877192983
0,Baseline,3,False,25,True,3.0710526315789473,3.0710526315789473,3.0791468550554812,8,1,,False,2.0140350877192983
0,Baseline,3,False,26,True,3.0710526315789473,3.0710526315789473,3.0791468550554812,8,1,,False,2.0140350877192983
0,Baseline,3,False,27,True,3.0710526315789473,3.0710526315789473,3.0791468550554812,8,1,,False,2.0140350877192983
0,Baseline,3,False,28,True,3.0710526315789473,3.0710526315789473,3.0791468550554812,8,1,,False,2.0140350877192983
0,Baseline,3,False,29,True,3.0710526315789473,3.0710526315789473,3.0791468550554812,8,1,,False,2.0140350877192983
